""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Gm15283"	0.000131505975473962	0.37051365002211	0.512	0.479	1
"Tmem59l"	0.000134793200012047	-0.170166836900334	0.559	0.726	1
"Apbb1"	0.00013851922778339	-0.169426451193601	0.476	0.626	1
"Galnt14"	0.0001387366088674	-0.234678183164332	0.141	0.222	1
"Maea"	0.000142127923099825	-0.158780087751262	0.084	0.149	1
"Rgs11"	0.000148230018190456	-0.188177630430167	0.391	0.515	1
"Serinc3"	0.000150931405439502	-0.166694172245162	0.206	0.313	1
"Ascc3"	0.000152521239829837	-0.187682076609983	0.15	0.233	1
"Guk1"	0.000154063068107199	-0.270508598687714	0.754	0.83	1
"Hnrnpc"	0.000155002801808302	-0.177090240178025	0.5	0.663	1
"mt-Atp8"	0.000155912196066493	0.317525099903257	0.339	0.295	1
"Arsb"	0.000163478972705666	-0.180562209593427	0.137	0.222	1
"Akap13"	0.000184127023581195	-0.178511120153886	0.308	0.428	1
"Syt13"	0.000186604008343709	-0.1753737869493	0.168	0.26	1
"Gria4"	0.0002011975393698	-0.293789927139987	0.162	0.24	1
"Xpr1"	0.000202169828544016	-0.165087660383376	0.201	0.298	1
"Kcnc3"	0.000206083897092633	-0.159009060478355	0.174	0.27	1
"Zfp536"	0.000213746077018199	-0.234202292907263	0.379	0.489	1
"AI480526"	0.000221976247941797	0.304791162015797	0.334	0.296	1
"Psd"	0.000224718764681768	-0.168341729333137	0.092	0.156	1
"Gm4792"	0.000226220348975599	0.194555247400781	0.921	0.906	1
"Ptma"	0.000230282617358004	-0.173554149772643	0.81	0.903	1
"Igsf21"	0.000243277815620133	-0.181151983318461	0.52	0.673	1
"Prdx2"	0.000250892635589116	-0.184938709566747	0.694	0.812	1
"Tanc2"	0.000264491383607232	-0.191150616909466	0.145	0.219	1
"Ntrk2"	0.000268681161680064	-0.172343878604213	0.449	0.579	1
"Zfp467"	0.00028295199966297	-0.183415882891805	0.301	0.413	1
"Ndufs6"	0.00028925232319144	-0.151138229508434	0.508	0.65	1
"Tmeff2"	0.000289461128690847	-0.318726547367086	0.059	0.111	1
"Bax"	0.000294419584294444	-0.167142906442647	0.237	0.346	1
"Phactr1"	0.000297862394536885	-0.377483266036983	0.206	0.285	1
"Fubp1"	0.000303594059355046	0.246639442881703	0.586	0.57	1
"Fscn1"	0.000311700212539169	-0.159878715164662	0.44	0.581	1
"Acp1"	0.000315993612413269	-0.153186899015708	0.331	0.459	1
"Zfp462"	0.000322863856109492	-0.183754542325647	0.453	0.574	1
"Frat2"	0.00032296215563743	-0.162349328704899	0.15	0.233	1
"Snhg3"	0.000333265924999703	0.329888883396104	0.398	0.376	1
"Grik5"	0.000335870572135282	-0.178022997080372	0.177	0.268	1
"Cop1"	0.000340872442635258	-0.169353701846433	0.137	0.216	1
"Rpl8"	0.000350527678508493	-0.150001877039193	0.85	0.904	1
"Nrxn1"	0.000354872727283137	-0.286877942539693	0.268	0.354	1
"Stxbp1"	0.000360741999517664	-0.171057184971169	0.665	0.779	1
"Car2"	0.000361508888086788	-0.263802001040071	0.764	0.869	1
"Otx2os1"	0.000373839111052191	0.174817889529776	0.992	0.989	1
"Eif1b"	0.000375785244250093	-0.232359243958794	0.652	0.754	1
"Csmd3"	0.0003930230864976	-0.20430956264156	0.271	0.364	1
"A930003A15Rik"	0.000413003179479103	-0.174647033635921	0.083	0.14	1
"Snhg9"	0.000423559593728173	0.285926638823126	0.271	0.223	1
"Ptprn"	0.000424534861215798	-0.168091342430565	0.141	0.215	1
"Eef2"	0.000474550771410436	-0.152057481499301	0.788	0.872	1
"Tmem200a"	0.00047611093522186	-0.229117316196903	0.075	0.129	1
"Naa40"	0.000485927473662714	-0.15504331602247	0.142	0.221	1
"Gm17750"	0.000491865746956583	0.336381964156067	0.327	0.271	1
"A730046J19Rik"	0.000504625443721823	-0.211616915001751	0.135	0.208	1
"Glra1"	0.000505680019909676	-0.207442744113087	0.329	0.428	1
"Cdc42bpa"	0.000524601860099277	-0.171751506458587	0.423	0.552	1
"Mir670hg"	0.000531562436057119	-0.195096130827321	0.409	0.528	1
"Lrrc49"	0.000538432699170385	-0.150526564550911	0.122	0.191	1
"Pfn1"	0.000574864830386785	-0.154052006811284	0.443	0.6	1
"Pdgfd"	0.000577603286850654	-0.160627292804948	0.09	0.149	1
"Tspan9"	0.000579094152095981	-0.163681070913972	0.214	0.31	1
"Sec62"	0.000593735837281352	0.209098391529271	0.821	0.836	1
"Tomm20"	0.000618685027270057	-0.160840844454536	0.607	0.725	1
"Prkcb"	0.000620307805888601	-0.157912881402657	0.428	0.541	1
"Nav1"	0.000625929849210747	-0.175713276977299	0.108	0.173	1
"Bcap31"	0.000633869002242798	-0.1559726283189	0.243	0.347	1
"Efna5"	0.000709481352522359	-0.240194275837814	0.092	0.15	1
"Samd12"	0.000724582241061855	-0.232978576217725	0.322	0.42	1
"Kctd16"	0.000728909270277496	-0.159282863385912	0.11	0.173	1
"Rprd1b"	0.000735639762235792	-0.172477668788411	0.147	0.223	1
"Rpl10a"	0.000741100294910029	-0.153940765548043	0.744	0.831	1
