""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Hivep2"	0.338970900034288	-0.299208065077854	0.46	0.469	1
"Slc39a9"	0.338981474521692	-0.152059624106682	0.081	0.111	1
"Gnaz"	0.33902686875741	-0.288624732236881	0.149	0.186	1
"Vsnl1"	0.339063059670615	0.28049192925412	0.435	0.412	1
"5330434G04Rik"	0.339094256636218	0.153164310940423	0.484	0.447	1
"Pcbd2"	0.339204653740593	-0.18766659878295	0.118	0.155	1
"Ralbp1"	0.339268393604748	-0.16121704547552	0.304	0.354	1
"Cacna1c"	0.339385207186834	-0.25406015085115	0.354	0.394	1
"Nktr"	0.339605437266069	-0.197299867854019	0.516	0.535	1
"Ppp2r2b"	0.339966856286912	-0.778938837528687	0.292	0.314	1
"Ddost"	0.340132385839372	-0.15129950415125	0.093	0.124	1
"Kif3a"	0.340148665908095	-0.303037300991438	0.292	0.332	1
"Plk2"	0.340658193637585	0.163303062518133	0.18	0.142	1
"Hecw1"	0.340873770803044	-0.315089175027824	0.13	0.164	1
"Tet1"	0.341026627822255	-0.176143241420654	0.137	0.173	1
"Sergef"	0.341118744649095	0.243743802654828	0.224	0.186	1
"Hsp90aa1"	0.34164672043442	-0.223099413665556	0.702	0.712	1
"Zranb2"	0.341755033456914	0.200398298223757	0.472	0.451	1
"Sclt1"	0.341758242590164	0.173395642875421	0.28	0.243	1
"Nsmce2"	0.341801598121598	-0.170610599367989	0.298	0.345	1
"Kctd3"	0.34182999995181	0.231597591660013	0.112	0.084	1
"Gfer"	0.34182999995181	0.165469307726884	0.112	0.084	1
"Wasf3"	0.342179079039726	0.251003171843322	0.248	0.208	1
"Fbl"	0.342220579094494	-0.266567251311418	0.174	0.212	1
"Myl6"	0.34224417617704	0.208340081562125	0.553	0.54	1
"Thoc1"	0.34275227310307	-0.319442210825924	0.286	0.323	1
"Senp1"	0.343136533485684	-0.285054015949835	0.13	0.164	1
"Golga4"	0.343413042314448	0.337063401328834	0.323	0.292	1
"Eif4a3"	0.344514826683046	0.212508390109466	0.236	0.199	1
"Nemf"	0.34479350522633	-0.243526465224557	0.398	0.336	1
"Ago2"	0.344847499237417	-0.289740689638503	0.155	0.186	1
"Spred2"	0.344916888581146	0.215322621172864	0.161	0.128	1
"Trim8"	0.345076598530532	-0.199846539406544	0.112	0.146	1
"Calr"	0.345413757205445	-0.172673686945024	0.304	0.354	1
"Gnao1"	0.346682212133419	-0.271060491629617	0.46	0.482	1
"Ncam1"	0.346746884452647	-0.166930573816708	0.807	0.81	1
"Extl2"	0.34691664408953	-0.158341695713317	0.161	0.204	1
"Brinp3"	0.346970526709252	0.240772107964831	0.224	0.177	1
"Wbp4"	0.347665919103578	0.207236043190971	0.354	0.319	1
"Sptbn4"	0.34771917981651	0.285634495938257	0.304	0.288	1
"Fam163a"	0.348028191189508	-0.351594071371887	0.124	0.155	1
"Rbm17"	0.348050282675026	-0.201535150899125	0.161	0.199	1
"Sec61a2"	0.348353900375904	0.212029822963962	0.311	0.27	1
"Yju2"	0.348411546635831	-0.160622060055831	0.075	0.102	1
"Tmcc3"	0.348624003735524	0.16506326357109	0.335	0.283	1
"Olfm3"	0.348798509955537	0.367395979822239	0.267	0.235	1
"Gm10076"	0.349195409222949	-0.167267375572729	0.155	0.195	1
"Dbi"	0.349408227921575	-0.426984313078465	0.373	0.42	1
"Mia2"	0.349534734610109	0.195107720244048	0.248	0.217	1
"Gabrb2"	0.349772344178479	0.383642592648426	0.161	0.133	1
"Cntnap5b"	0.350287758568303	-0.542061057878462	0.13	0.159	1
"Celsr2"	0.351157278475704	-0.324965778963315	0.124	0.155	1
"Atf4"	0.351357489629683	0.295729465298624	0.292	0.257	1
"Rabep1"	0.351442474275916	-0.207850049835027	0.373	0.412	1
"Rab11a"	0.352597247287801	0.19067414775453	0.323	0.296	1
"D8Ertd738e"	0.352731992281971	-0.287137718159926	0.391	0.42	1
