""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Psmd5"	0.380341764832243	-0.157187394908666	0.099	0.129	1
"Mrpl24"	0.38038030488254	0.17017167677458	0.277	0.272	1
"Mlxip"	0.381627239141552	0.161987801434203	0.155	0.134	1
"Surf2"	0.382428561631623	0.235219468420325	0.103	0.084	1
"Dtnbp1"	0.383705258734741	0.201955583395717	0.263	0.252	1
"Xaf1"	0.384227261995691	0.180002596240698	0.221	0.203	1
"Meis2"	0.384400302491319	0.154537358163312	0.174	0.149	1
"Dctn3"	0.385669161867329	0.16740164605339	0.315	0.401	1
"Ifit3"	0.386299615889756	0.250702787672656	0.221	0.208	1
"Alpk1"	0.386479541518219	0.177075404585224	0.399	0.401	1
"Siah1a"	0.388954990184263	0.230330460546703	0.155	0.134	1
"Lman1"	0.390195555958498	-0.158418187710603	0.685	0.728	1
"Gpx3"	0.390969716323893	0.615218737196843	0.141	0.119	1
"Nmt1"	0.391493659358073	0.22817768902101	0.286	0.277	1
"Atf7"	0.393492696956747	0.159387511508449	0.347	0.436	1
"Fam160a1"	0.393745770941508	0.160332446479637	0.155	0.139	1
"Sema4a"	0.393901938806873	0.229010699713764	0.127	0.109	1
"Oip5os1"	0.394257761905862	0.197947156275367	0.263	0.252	1
"Bola3"	0.395888237551171	0.229960815673342	0.437	0.455	1
"Slc38a9"	0.395897321168162	0.172932565222976	0.3	0.292	1
"Gtf2i"	0.395960640309752	0.206297316699624	0.531	0.584	1
"Lsm6"	0.396280828064383	0.239883417539298	0.366	0.366	1
"Arhgef28"	0.396411350809798	0.164891061105089	0.352	0.351	1
"Ppox"	0.397112947765617	0.172239212376822	0.122	0.163	1
"Cdk7"	0.399562759585213	0.196472083164223	0.178	0.163	1
"Tut4"	0.399686936939971	0.206131692491888	0.418	0.45	1
"Pts"	0.399726978633171	0.238817238952206	0.479	0.505	1
"Ywhaz"	0.401104115847148	0.163168900338034	0.46	0.48	1
"Cd24a"	0.402247112196202	0.383504691246846	0.258	0.243	1
"Rps12"	0.404217703017132	0.206535947362771	0.864	0.837	1
"Kat6a"	0.404539851620737	0.152657064311405	0.225	0.213	1
"Tmem167"	0.408195428465199	0.197558841554334	0.366	0.376	1
"Cul1"	0.409742468736087	0.233275321238289	0.427	0.436	1
"Mertk"	0.412876978771989	0.210627072808722	0.418	0.465	1
"Gpr162"	0.413953320638437	0.17998076312686	0.131	0.114	1
"Abi3bp"	0.415464104311843	0.338210935354869	0.286	0.267	1
"Nisch"	0.417156996437638	0.20777198776797	0.54	0.559	1
"Mrpl33"	0.4182037558033	0.151448082157386	0.343	0.441	1
