""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Dctn2"	0.0131780209419034	0.464917163359667	0.296	0.148	1
"Cox14"	0.0133824819046883	0.486650792322661	0.42	0.259	1
"Rpl4"	0.013615177403707	0.446695543330974	0.741	0.58	1
"Kif4"	0.0136996383824828	0.413088384002434	0.333	0.16	1
"Smap2"	0.0137103045348489	-0.597340392543684	0.037	0.148	1
"Nptx2"	0.013859381996283	-0.656501918870296	0.198	0.358	1
"Gm48678"	0.0138812381017586	0.568554486856276	0.123	0.025	1
"Chordc1"	0.01403510733251	-0.440339574897916	0.062	0.198	1
"Gm49359"	0.0140709038819925	0.647104216938458	0.198	0.074	1
"Top2b"	0.0141444329236391	0.429680566199407	0.42	0.259	1
"Trmt1"	0.014228504032537	-0.548795976087792	0.037	0.148	1
"Rd3l"	0.014277461538333	0.552307904604026	0.63	0.494	1
"Zfp385b"	0.0147381379897241	-0.459350567361032	0.815	0.901	1
"Ppp2r3d"	0.0147610032925254	-0.490739366976754	0.025	0.123	1
"Atg16l1"	0.0147858038080114	-0.694392564053122	0.185	0.358	1
"Kmt5b"	0.0147902819288064	-0.595066095312478	0.123	0.284	1
"5033430I15Rik"	0.0148052558598144	0.500756407358936	0.16	0.049	1
"Oaz1"	0.014881265598932	0.36695611892352	0.938	0.84	1
"Mrpl32"	0.0150650879983736	0.465025291558879	0.16	0.049	1
"Rabgap1"	0.0151463191045278	-0.495680019226598	0.148	0.321	1
"Dbi"	0.015173377252772	-0.635909165160076	0.173	0.049	1
"Hmgn1"	0.0153451685949029	0.376453836007616	0.889	0.815	1
"Smg9"	0.0153744752011714	-0.504320996248493	0.025	0.123	1
"Alg11"	0.0153744752011714	-0.618921912809476	0.025	0.123	1
"Rgmb"	0.0153744752011714	-0.458550587440825	0.025	0.123	1
"mt-Atp6"	0.015441045771308	-0.469041731274496	1	1	1
"Man2a2"	0.0155362925863881	-0.639441247331556	0.37	0.519	1
"Srsf4"	0.0155549657471487	-0.549090446603689	0.21	0.395	1
"Lrrc51"	0.0155549657471487	0.623724100650492	0.383	0.222	1
"Rab5a"	0.0155557890535237	0.546070373236873	0.222	0.099	1
"Ralgapa2"	0.015586427790224	-0.827162838004887	0.198	0.358	1
"Ppp1r12c"	0.0156895442204825	-0.497703508913271	0.025	0.123	1
"mt-Nd3"	0.0157290085924069	-0.52777606871158	0.864	0.914	1
"Srsf6"	0.0158336570958831	-0.639989990605231	0.111	0.259	1
"Hras"	0.015868838071163	0.465094215414205	0.16	0.049	1
"Eef2kmt"	0.015868838071163	0.448184667014477	0.16	0.049	1
"Unc5d"	0.0159715959567163	-0.598890715022909	0.432	0.605	1
"Arel1"	0.0163367646556536	-0.492985587875266	0.025	0.123	1
"Gskip"	0.0163367646556536	-0.425126331260119	0.025	0.123	1
"Bex3"	0.0163591057703102	0.523352097796335	0.259	0.123	1
"Ccl9"	0.0164685556580338	0.720043130687103	0.284	0.16	1
"Ndufaf5"	0.0166041163733205	0.544132857658016	0.741	0.642	1
"Ccdc92"	0.0167802123943347	-0.323205677404993	0.037	0.148	1
"Cngb3"	0.0169168448324166	-0.320776577925894	0.951	0.951	1
"Mllt6"	0.0169217254890863	-0.616088003152898	0.198	0.346	1
"Ikbkg"	0.0170073268573256	-0.38175801984199	0.025	0.123	1
"Mapk1"	0.0171369025190839	0.563616191654949	0.296	0.173	1
"Fgfr1op2"	0.0175901819259206	0.459674229456015	0.16	0.049	1
"BC003965"	0.0175901819259206	-0.576295546790182	0.049	0.16	1
"Brk1"	0.0175991303292149	0.48177224891907	0.235	0.099	1
"Nbr1"	0.0177493516469004	0.5029644936255	0.42	0.272	1
"Cadm2"	0.0180339530592737	-0.286118640882814	1	0.988	1
"Rp1"	0.0180388286271341	0.297108462380076	0.568	0.383	1
"Psap"	0.0180857377990472	-0.527871152176113	0.481	0.63	1
"Rabep1"	0.0181243313130082	0.452356464892368	0.321	0.16	1
"Atp5c1"	0.0182809212485328	0.4804828348292	0.58	0.42	1
"Psmb6"	0.0184688311756932	0.518307590745943	0.543	0.42	1
"Rps4x"	0.0187129622224342	0.553360236489317	0.63	0.506	1
"Gmds"	0.0187397518691245	-0.55470201625817	0.062	0.185	1
"Norad"	0.0188198047880516	-0.725004824032059	0.123	0.272	1
"Atrn"	0.0188308540875492	-0.517011466411338	0.21	0.383	1
"Srsf10"	0.0189187909193868	0.637584843005798	0.259	0.123	1
"Slc17a7"	0.0189399715559919	-0.479097901103859	0.84	0.926	1
"Zfp654"	0.0191968582404868	-0.634762804572367	0.272	0.444	1
"Cep57l1"	0.0193383395011534	0.330710326411893	0.185	0.062	1
"Trip12"	0.0193398182313304	0.540146908917699	0.321	0.173	1
